coordinates,suburb,postal_code
"-37.8136,144.9631",Melbourne,3000
"-37.8183,144.9689",Melbourne,3000
"-37.7993,144.9787",Fitzroy,3065
"-37.7976,144.9790",Fitzroy,3065
"-37.8030,144.9469",North Melbourne,3051
"-37.8409,144.9465",Port Melbourne,3207
"-37.8485,144.9934",Prahran East,3181
"-37.8550,144.9931",Prahran East,3181
"-37.8150,144.9850",East Melbourne,3002
"-37.8251,144.9563",Southbank,3006
"-37.8676,144.9810",St Kilda,3182
"-37.8673,144.9806",St Kilda,3182
"-37.8397,144.9400",Port Melbourne,3207
"-37.8679,144.9817",St Kilda,3182
"-37.8770,145.0004",Balaclava,3183
"-37.8416,144.9987",South Yarra,3141
"-37.7665,144.9664",Brunswick,3056
"-37.7757,144.9620",Brunswick,3056
"-37.7373,144.9631",Batman,3058
"-37.7544,144.9319",Essendon,3040
"-37.8070,144.9940",Abbotsford,3067
"-37.7705,145.0023",Northcote South,3070
"-37.7497,145.0200",Preston,3072
"-37.7386,145.0043",Preston,3072
"-37.7764,144.9285",Highpoint City,3032
"-37.7912,144.9187",Flemington,3031
"-37.8062,144.9100",West Melbourne,3003
"-37.7640,144.9190",Moonee Ponds,3039
"-37.7791,144.9259",Highpoint City,3032
"-37.8098,145.0325",Kew,3101
"-37.8026,145.0250",Kew,3101
"-37.8425,145.0531",Hawthorn East,3123
"-37.8560,145.0205",Armadale,3143
"-37.8597,145.0790",Ashwood,3147
"-37.8767,145.0420",Darling,3145
"-37.8679,145.0308",Kooyong,3144
"-37.8826,145.0364",Darling,3145
"-37.8591,145.0582",Glen Iris,3146
"-37.9025,145.0016",Dendy,3186
"-37.9165,145.0367",Ormond,3204
"-37.9104,145.0170",Brighton East,3187
"-37.9150,145.0320",Ormond,3204
"-37.9168,144.9962",Dendy,3186
